act,做，行动
ag,做，驱动
ali,其他的，改变
alter,其他的，改变
am,爱，亲爱
anim,生命，精神
ann,年
enn,年
anthrop,人类
apt,适应，能力
aqua,水
arch,统治者，首要
aud,听
auto,自己，自动
bene,好，善
bio,生命，生物
cap,拿，抓，容纳
cept,拿，抓，接受
cid,落下，降临
cis,切，杀
circ,圆，环
claim,呼喊，大叫
clam,呼喊，大叫
clar,清楚，明白
clud,关闭，闭合
clus,关闭，闭合
cogn,知道
cord,心
corpor,身体，团体
cred,相信，信任
cruc,十字
cur,跑，流
curs,跑，流
cycl,圆，环
de,向下，离开
dem,人民
dent,牙齿
dict,说，讲
dic,说，讲
dit,给
doc,教
dom,屋，家
don,给予
du,二
duc,引导
duct,引导
dur,持久，坚硬
dyn,力量
eco,生态，经济
ed,吃
ego,自我
equ,相等，平均
err,漫游，走，犯错误
ev,年龄，时代
fac,做，制作
fact,做，制作
fer,带来，运送
fid,相信，信念
fin,结束，界限
firm,坚定
fix,固定
flam,火焰
flex,弯曲
flect,弯曲
flu,流动
flux,流动
form,形状，形式
fort,强壮
fract,打破，折断
frag,打破，折断
frig,冷
fug,逃，离开
fus,流，倾泻
gam,婚姻
geo,地球，土地
ger,携带，孕育
gest,携带，孕育
glac,冰
gnos,知道
grad,步，走，级
gram,写，画
graph,写，画
grat,感激，高兴
grav,重，严肃
greg,群体
gyn,女人
habit,居住
hal,呼吸
hap,机会，运气
her,黏附
hes,黏附
hib,拿，持
homo,相同的
hum,土地，湿
hydr,水
hypo,在…下，低于
idea,思想，观点
ident,相同
idio,个人的，独特的
imag,想象，相像
imit,模仿
infra,在…下，低于
inter,在…之间，相互
intra,在内，内部
intro,向内，入内
ject,投，掷
junct,连接，结合
jur,法律，发誓
just,正确，公平
juven,年轻
labor,劳动
laps,滑，滑走
lat,拿出，带出
lav,洗，冲洗
lect,选择，收集
leg,法律
lev,举起，变轻
liber,自由
liter,文字，字母
loc,地方
log,说话，言语
loqu,说话，言语
luc,光，照
lumin,光
lun,月亮
lustr,光，照亮
mag,大
maj,大
man,手
manu,手
mar,海
mark,记号，符号
mat,母，母性
medi,中间
mem,记忆，纪念
ment,思考，心智
merg,沉，没
migr,迁移
milit,兵，战斗
min,小，伸
mir,惊奇，看
mis,送，派
mit,送，派
mob,动
mod,方式，模式
mon,警告，提醒
mono,单个，一个
mort,死
mot,动
mov,动
morph,形状
multi,多
mut,改变
nat,出生的
nav,船
nect,连接，捆
neg,否认，不
neutr,中间
noc,伤害
nox,伤害
nom,名称，名字
norm,规范，正常
nounce,讲述，通告
nunci,讲述，通告
nov,新
numer,数目
nutri,营养，滋养
oper,工作
opt,选择，视力
ora,嘴，说
ori,升起，开始
orn,装饰
oss,骨头
pact,压紧，固定
pan,广泛的，全
para,在旁边，类似
part,部分，分开
pass,感情，通过
path,感情，痛苦
patr,父亲，祖国
ped,脚，儿童
pel,推，驱动
pens,悬挂，花费
pend,悬挂，花费
peri,周围，靠近
pet,追求，寻求
phag,吃
phil,爱
phon,声音，语音
photo,光
pics,画
pict,画
plac,平静，安慰
plain,打，击
plan,平坦，计划
plant,种植
ple,满，填满
plen,满，填满
plic,重叠，折叠
ply,重叠，折叠
plod,大声，爆炸
plos,大声，爆炸
pon,放置
pos,放置
pop,人民
port,拿，运
pos,放，姿势
pre,前，预先
press,压
prim,第一，主要
prin,第一，主要
priv,单个，私人
prob,检查，证明
pro,向前，在前
proper,拥有，恰当
propri,拥有，恰当
psych,精神，心理
pug,打
pun,惩罚
pup,儿童，学生
put,考虑，计算
qu,寻求，获得
quest,寻求，获得
quir,寻求，获得
quis,寻求，获得
quiet,静，静止
quit,自由，免除
rad,根，辐射
radi,根，辐射
rap,抓，夺
ras,刮，擦
rat,计算，思考
re,回，向后，再
rect,正，直
reg,统治，规范
rid,笑
ris,笑
rod,咬
ros,咬
rot,旋转
rud,原始，粗野
rupt,破，断裂
sacr,神圣
sal,盐
san,健康的
sanct,神圣
sat,足够，饱足
satis,足够，饱足
sci,知道
scend,爬，攀
scens,爬，攀
sci,知道
scrib,写
script,写
sec,切割
sect,切割
sed,坐，静止
seg,切割
sel,选择
sen,老
sens,感觉
sent,感觉
sequ,跟随
secut,跟随
ser,服务，保持
serv,服务，保持
set,放置，安置
sid,坐，放置
sign,记号，信号
simil,相同，类似
simi,相同，类似
sist,站立
sol,太阳，单独
solv,松开
solut,松开
som,身体
son,声音
sort,种类
spec,看，种类
spect,看
spers,散开
spers,散开
spir,呼吸，精神
splend,发光
spond,承诺，约定
spons,承诺，约定
st,站，立
stat,站，立
stell,星
stere,固体，立体
string,拉紧，绑
strict,拉紧，绑
struct,建立
sult,跳
sum,总，加
summ,总，加
sun,太阳
sup,在…上
sur,在…上，超过
surg,升起
surr,在…下
tact,接触
tang,接触
tain,拿住，保持
ten,拿住，保持
tend,伸展，趋向
tens,伸展，趋向
tent,伸展，趋向
termin,界限
terr,土地，恐惧
test,证据，证明
text,编织
the,神
therm,热
tir,拉
tom,切割
ton,声音
tor,扭
tort,扭
tour,转，迂回
tract,拉，拽
treat,处理
trem,颤抖
trend,倾向，趋势
tri,三
tribut,给予
trud,推，冲
trus,推，冲
tuit,监护，看管
tut,监护，看管
turb,搅动
turn,转
tut,监护，看管
twist,编织，扭曲
typ,模式，形状
ult,最后
umbr,阴影
un,一，统一
uni,一，统一
urb,城市
urg,推进，催促
us,用
util,用
vac,空，空虚
vad,走
vag,漫游
val,价值，强壮
vap,蒸汽，雾
vari,变化
vas,走，去
vast,巨大
veh,携带
vect,携带
ven,来
vent,来
ver,真实
verb,词语
vert,转
vers,转
vest,衣服，投入
vi,路
via,路
vict,征服
vinc,征服
vid,看
vis,看
viv,活，生命
voc,声音，叫喊
vok,声音，叫喊
vol,意志，意愿
volv,滚，转
volu,滚，转
vor,吃
vot,发誓
vulg,人群
vuls,拉，扯
vult,意愿
