
Word List 1 通用医学基础

patient /ˈpeɪʃnt/ n. 病人
doctor /ˈdɒktə(r)/ n. 医生
nurse /nɜːs/ n. 护士
clinic /ˈklɪnɪk/ n. 诊所；临床
ward /wɔːd/ n. 病房
outpatient /ˈaʊtpeɪʃnt/ n. 门诊病人
inpatient /ˈɪnpeɪʃnt/ n. 住院病人
treatment /ˈtriːtmənt/ n. 治疗
therapy /ˈθerəpi/ n. 疗法
examination /ɪɡˌzæmɪˈneɪʃn/ n. 检查
diagnosis /ˌdaɪəɡˈnəʊsɪs/ n. 诊断
prognosis /prɒɡˈnəʊsɪs/ n. 预后
symptom /ˈsɪmptəm/ n. 症状
sign /saɪn/ n. 体征
disease /dɪˈziːz/ n. 疾病
health /helθ/ n. 健康
care /keə(r)/ n. 护理
follow-up /ˈfɒləʊ ʌp/ n. 随访
recover /rɪˈkʌvə(r)/ v. 康复
relapse /rɪˈlæps/ v./n. 复发

Word List 2 症状与体征

fever /ˈfiːvə(r)/ n. 发热
pain /peɪn/ n. 疼痛
cough /kɒf/ n./v. 咳嗽
nausea /ˈnɔːziə/ n. 恶心
vomit /ˈvɒmɪt/ v./n. 呕吐
dizzy /ˈdɪzi/ adj. 头晕的
dyspnea /dɪspˈniːə/ n. 呼吸困难
edema /ɪˈdiːmə/ n. 水肿
fatigue /fəˈtiːɡ/ n. 疲劳
constipation /ˌkɒnstɪˈpeɪʃn/ n. 便秘
diarrhea /ˌdaɪəˈrɪə/ n. 腹泻
rash /ræʃ/ n. 皮疹
bleeding /ˈbliːdɪŋ/ n. 出血
palpitation /ˌpælpɪˈteɪʃn/ n. 心悸
consciousness /ˈkɒnʃəsnəs/ n. 意识
coma /ˈkəʊmə/ n. 昏迷
shock /ʃɒk/ n. 休克
seizure /ˈsiːʒə(r)/ n. 癫痫发作
abnormal /æbˈnɔːml/ adj. 异常的
acute /əˈkjuːt/ adj. 急性的
chronic /ˈkrɒnɪk/ adj. 慢性的

Word List 3 人体结构与组织

cell /sel/ n. 细胞
tissue /ˈtɪʃuː/ n. 组织
organ /ˈɔːɡən/ n. 器官
blood /blʌd/ n. 血液
plasma /ˈplæzmə/ n. 血浆
artery /ˈɑːtəri/ n. 动脉
vein /veɪn/ n. 静脉
bone /bəʊn/ n. 骨
muscle /ˈmʌsl/ n. 肌肉
nerve /nɜːv/ n. 神经
tendon /ˈtendən/ n. 肌腱
ligament /ˈlɪɡəmənt/ n. 韧带
heart /hɑːt/ n. 心脏
lung /lʌŋ/ n. 肺
liver /ˈlɪvə(r)/ n. 肝脏
kidney /ˈkɪdni/ n. 肾
brain /breɪn/ n. 脑
abdomen /ˈæbdəmən/ n. 腹部
gland /ɡlænd/ n. 腺体
membrane /ˈmembreɪn/ n. 膜

Word List 4 内科常见疾病

hypertension /ˌhaɪpəˈtenʃn/ n. 高血压
diabetes /ˌdaɪəˈbiːtiːz/ n. 糖尿病
anemia /əˈniːmiə/ n. 贫血
pneumonia /njuːˈməʊniə/ n. 肺炎
asthma /ˈæsmə/ n. 哮喘
hepatitis /ˌhepəˈtaɪtɪs/ n. 肝炎
gastritis /ɡæˈstraɪtɪs/ n. 胃炎
